Cities,Visitors yearly,Visitors to locals ratio,Employment,GDP,GDP per capita,Population,Foreign Population,Land area (km2),Medium Size City Center Apartment Rent,AVG Net Salary,Air Quality score,Urban Greenery score,Life Expectancy,# of Startups
Paris,30000000.00,2.34,6031104.44,645120960000.00,54092.72,12244807.00,2436631.82,105.40,1760.00,33212.08,0.32,0.51,82.43,3933.00
London,19233000.00,1.35,6268882.00,631639360000.00,56184.49,14257962.00,4705127.46,1572.00,2200.00,39762.80,0.35,0.77,81.22,9805.00
Milano,12000000.00,2.77,2411689.56,251139745648.00,49042.31,4336121.00,390250.89,181.80,1320.00,27439.28,0.29,0.40,82.69,355.00
Madrid,7000000.00,1.03,2855178.00,239502560000.00,37049.76,6791667.00,1697916.75,604.30,1056.00,28155.60,0.31,0.58,82.83,1172.00
Munich,8800000.00,3.06,1480335.09,172370880000.00,59869.56,5879107.00,518239.26,310.40,1584.00,42988.00,0.89,0.83,81.04,532.00
Berlin,13500000.00,2.20,2483733.46,162528960000.00,32477.28,6144600.00,1474704.00,891.80,1056.00,33778.80,0.64,0.86,81.04,1503.00
Barcelona,30000000.00,5.48,1984767.00,154479600000.00,38595.04,5474482.00,930661.94,101.90,1056.00,27500.00,0.31,0.39,82.83,957.00
Stockholm,4729377.00,2.08,1127431.00,148264880000.00,58080.00,2269060.00,748789.80,188.00,1408.00,41322.16,0.88,0.87,82.38,703.00
Hamburg,7180000.00,2.19,1622174.69,146223440000.00,46194.72,5282164.00,623611.16,755.20,1144.00,35895.20,0.72,0.96,81.04,333.00
Frankfurt,6000000.00,2.25,1291142.81,138920320000.00,54034.64,5671358.00,988402.46,248.30,1144.00,39138.88,0.56,0.78,81.04,196.00
Roma,29000000.00,6.55,1837965.28,138249255320.00,31227.83,4427117.00,575525.21,1285.00,1232.00,24889.92,0.28,0.57,82.69,158.00
Amsterdam,20000000.00,7.22,1466880.00,138094880000.00,51788.00,2771661.00,942364.74,219.30,1760.00,38074.08,0.76,0.72,81.86,1083.00
Stuttgart,3800000.00,1.38,1409943.65,134576640000.00,50413.44,4757930.00,827379.00,207.40,1056.00,41655.68,0.54,0.83,81.04,75.00
Brussel,8800000.00,3.32,932481.92,125290000000.00,47245.75,2651879.00,1432014.66,161.40,1056.00,31787.36,0.37,0.67,81.06,262.00
Vienna,16000000.00,6.15,854000.00,123000000000.00,43127.36,2600000.00,773176.00,414.60,1114.88,35830.00,0.87,0.88,81.51,290.00
Dublin,11000000.00,5.75,765676.40,117757200000.00,61518.00,1914191.00,401980.11,115.00,1848.00,36541.12,0.72,0.75,81.42,1437.00
Napoli,3700000.00,1.08,1091860.48,106551353216.00,31227.83,3412064.00,409447.68,42.61,677.60,18954.32,0.22,0.10,82.69,30.00
Budapest,30000000.00,10.12,1320246.00,94667760000.00,32208.88,3365398.00,355847.76,525.20,580.80,20312.16,0.41,0.49,75.85,183.00
Lisbon,4500000.00,1.50,1200000.00,90000000000.00,30133.32,2846332.00,240000.00,100.00,1100.00,19331.00,0.66,0.53,81.14,249.00
Oslo,4800000.00,3.57,709363.00,79341680000.00,54096.24,1744368.00,336092.00,454.00,1672.00,49301.12,0.76,0.89,81.22,227.00
Lyon,6000000.00,2.88,930217.37,78955360000.00,39907.12,2084490.00,250138.80,47.87,1056.00,27289.68,0.53,0.76,82.43,357.00
Copenhagen,7700000.00,3.99,909507.00,75257988889.60,39021.84,1928612.00,520725.24,88.25,1496.00,56747.68,0.81,0.89,80.58,564.00
Leeds,29000000.00,11.13,1171025.00,73663040000.00,27405.84,800000.00,260482.40,551.70,968.00,32537.12,0.58,0.65,81.22,380.00
Rotterdam,1100000.00,0.60,829480.00,72248000000.00,43451.76,2818563.00,818353.35,325.80,1144.00,34306.80,0.56,0.68,81.86,134.00
Zürich,6000000.00,4.49,706070.00,68360671957.60,51116.74,1837344.00,548311.04,87.88,2200.00,75355.28,0.87,0.71,83.36,425.00
Helsinki,4000000.00,2.72,714280.38,62212480000.00,47910.72,1471930.00,206070.20,213.80,1320.00,37595.36,0.99,0.86,81.08,714.00
Manchester,11000000.00,3.30,1533061.00,92000000000.00,53920.24,3329864.00,299687.76,115.60,1056.00,34203.84,0.52,0.39,81.22,811.00
Prague,8000000.00,3.67,671022.00,57342996022.40,26334.00,2647308.00,195977.43,496.00,827.20,21126.16,0.66,0.72,78.83,179.00
Antwerp,1079203.00,0.98,450881.34,48444880000.00,43785.17,1106422.00,497889.90,204.50,1056.00,31787.36,0.35,0.45,81.06,136.00
Porto,1600000.00,0.94,900299.00,48000000000.00,26975.00,1722374.00,30000.00,41.42,730.00,17862.00,0.60,0.66,81.14,51.00
Utrecht,5000000.00,5.71,468510.00,39700320000.00,46167.44,875154.00,262546.20,99.21,1232.00,37989.60,0.72,0.75,81.86,121.00
Bordeaux,5800000.00,4.66,552054.41,37735280000.00,31702.00,1244264.00,99541.12,49.36,880.00,23066.56,0.78,1.00,82.43,162.00
Bilbao,3000000.00,2.89,403912.00,34417680000.00,33271.04,1038319.00,103831.90,41.60,968.00,33316.80,0.78,0.81,82.83,35.00
Eindhoven,4000000.00,5.25,376528.00,34129040000.00,46396.24,761702.00,228510.60,88.87,1056.00,37146.56,0.80,0.88,81.86,84.00
Basel,1500000.00,2.75,259735.00,33271040000.00,61951.12,830000.00,207223.88,517.70,2288.00,79200.00,0.80,0.65,83.36,359.00
Liverpool,839000.00,0.55,512371.00,32340880000.00,26713.28,2241000.00,168020.71,111.80,809.60,32450.88,0.85,0.75,81.22,155.00
Genève,3000000.00,4.79,240038.00,32045087316.00,51116.74,626900.00,75228.00,15.93,2464.00,65682.32,0.65,0.95,83.36,161.00
Nice,5000000.00,4.91,419056.20,26672800000.00,32341.76,1017307.00,223807.54,71.92,1056.00,29231.84,0.61,0.68,82.43,64.00
Firenze,16000000.00,19.78,347486.88,25257380860.80,31227.83,808810.00,218378.70,102.40,968.00,23338.48,0.50,0.68,82.69,36.00
Riga,3500000.00,3.73,437939.00,24523840000.00,25930.96,1070000.00,281767.50,304.00,510.40,17854.32,0.67,0.81,74.56,150.00
Vilnius,3600000.00,5.16,332088.00,22176000000.00,33182.16,810290.00,209307.30,401.00,554.40,15191.44,0.80,0.92,73.63,238.00
Tallinn,4500000.00,7.72,291580.00,18714080000.00,32710.48,582556.00,46604.48,159.30,624.80,20232.96,0.86,0.67,77.56,363.00
